  |Approximate root|       Precision|
 1|          1.5000|     1.00000E+00|
 2|          0.7500|     1.00000E+00|
 3|          1.1250|     3.33333E-01|
 4|          0.9375|     2.00000E-01|
 5|          1.0312|     9.09091E-02|
 6|          0.9844|     4.76190E-02|
 7|          1.0078|     2.32558E-02|
 8|          0.9961|     1.17647E-02|
 9|          1.0020|     5.84795E-03|
10|          0.9990|     2.93255E-03|
11|          1.0005|     1.46413E-03|
12|          0.9998|     7.32601E-04|
13|          1.0001|     3.66166E-04|
14|          0.9999|     1.83117E-04|
15|          1.0000|     9.15499E-05|
16|          1.0000|     4.57771E-05|
17|          1.0000|     2.28880E-05|
18|          1.0000|     1.14441E-05|
19|          1.0000|     5.72203E-06|

number of iterations: 19
execution time: 0.060122
