  |Approximate root|       Precision|
 1|          0.1333|     2.15000E+01|
 2|          0.2485|     4.63452E-01|
 3|          0.3487|     2.87381E-01|
 4|          0.4363|     2.00797E-01|
 5|          0.5131|     1.49618E-01|
 6|          0.5804|     1.15927E-01|
 7|          0.6393|     9.21228E-02|
 8|          0.6907|     7.44560E-02|
 9|          0.7355|     6.08752E-02|
10|          0.7743|     5.01676E-02|
11|          0.8079|     4.15695E-02|
12|          0.8368|     3.45741E-02|
13|          0.8617|     2.88293E-02|
14|          0.8829|     2.40803E-02|
15|          0.9011|     2.01364E-02|
16|          0.9165|     1.68508E-02|
17|          0.9296|     1.41078E-02|
18|          0.9408|     1.18145E-02|
19|          0.9502|     9.89551E-03|
20|          0.9581|     8.28877E-03|
21|          0.9648|     6.94304E-03|
22|          0.9704|     5.81571E-03|
23|          0.9752|     4.87126E-03|
24|          0.9792|     4.08001E-03|
25|          0.9825|     3.41714E-03|
26|          0.9854|     2.86183E-03|
27|          0.9877|     2.39666E-03|
28|          0.9897|     2.00702E-03|
29|          0.9914|     1.68066E-03|
30|          0.9928|     1.40733E-03|
31|          0.9940|     1.17842E-03|
32|          0.9949|     9.86721E-04|
33|          0.9958|     8.26187E-04|
34|          0.9964|     6.91760E-04|
35|          0.9970|     5.79196E-04|
36|          0.9975|     4.84942E-04|
37|          0.9979|     4.06022E-04|
38|          0.9983|     3.39942E-04|
39|          0.9985|     2.84615E-04|
40|          0.9988|     2.38290E-04|
41|          0.9990|     1.99505E-04|
42|          0.9991|     1.67031E-04|
43|          0.9993|     1.39843E-04|
44|          0.9994|     1.17080E-04|
45|          0.9995|     9.80218E-05|
46|          0.9996|     8.20658E-05|
47|          0.9996|     6.87069E-05|
48|          0.9997|     5.75226E-05|
49|          0.9998|     4.81588E-05|
50|          0.9998|     4.03192E-05|
51|          0.9998|     3.37558E-05|
52|          0.9999|     2.82608E-05|
53|          0.9999|     2.36603E-05|
54|          0.9999|     1.98087E-05|
55|          0.9999|     1.65840E-05|
56|          0.9999|     1.38843E-05|
57|          0.9999|     1.16241E-05|
58|          0.9999|     9.73184E-06|

number of iterations: 58
execution time: 0.229454
