  |Approximate root|       Precision|
 1|          1.5000|     1.00000E+00|
 2|          0.7500|     1.00000E+00|
 3|          0.3750|     1.00000E+00|
 4|          0.5625|     3.33333E-01|
 5|          0.6562|     1.42857E-01|
 6|          0.6094|     7.69231E-02|
 7|          0.5859|     4.00000E-02|
 8|          0.5742|     2.04082E-02|
 9|          0.5684|     1.03093E-02|
10|          0.5654|     5.18135E-03|
11|          0.5669|     2.58398E-03|
12|          0.5676|     1.29032E-03|
13|          0.5673|     6.45578E-04|
14|          0.5671|     3.22893E-04|
15|          0.5672|     1.61421E-04|
16|          0.5671|     8.07168E-05|
17|          0.5671|     4.03568E-05|
18|          0.5671|     2.01788E-05|
19|          0.5671|     1.00893E-05|
20|          0.5671|     5.04462E-06|

number of iterations: 20
execution time: 0.008011
