  |              xu|              xl|Approximate root|       Precision|
 1|         -1.0000|          2.0000|          0.5000|          3.0000|
 2|          0.5000|          2.0000|          1.2500|          0.6000|
 3|          0.5000|          1.2500|          0.8750|          0.4286|
 4|          0.5000|          0.8750|          0.6875|          0.2727|
 5|          0.6875|          0.8750|          0.7813|          0.1200|
 6|          0.7813|          0.8750|          0.8281|          0.0566|
 7|          0.7813|          0.8281|          0.8047|          0.0291|
 8|          0.8047|          0.8281|          0.8164|          0.0144|
 9|          0.8164|          0.8281|          0.8223|          0.0071|
10|          0.8164|          0.8223|          0.8193|          0.0036|
11|          0.8164|          0.8193|          0.8179|          0.0018|
12|          0.8164|          0.8179|          0.8171|          0.0009|
13|          0.8171|          0.8179|          0.8175|          0.0004|
14|          0.8175|          0.8179|          0.8177|          0.0002|
15|          0.8177|          0.8179|          0.8178|          0.0001|
16|          0.8177|          0.8178|          0.8177|          0.0001|
17|          0.8177|          0.8177|          0.8177|          0.0000|
18|          0.8177|          0.8177|          0.8177|          0.0000|
19|          0.8177|          0.8177|          0.8177|          0.0000|

number of iterations: 19
execution time: 0.003162
