  |Approximate root|       Precision|
 1|          0.1200|     4.06667E+01|
 2|          0.2371|     4.93787E-01|
 3|          0.3509|     3.24381E-01|
 4|          0.4609|     2.38697E-01|
 5|          0.5663|     1.86223E-01|
 6|          0.6665|     1.50212E-01|
 7|          0.7604|     1.23570E-01|
 8|          0.8476|     1.02816E-01|
 9|          0.9274|     8.60711E-02|
10|          0.9996|     7.22459E-02|
11|          1.0642|     6.06677E-02|
12|          1.1212|     5.08954E-02|
13|          1.1711|     4.26204E-02|
14|          1.2144|     3.56109E-02|
15|          1.2515|     2.96830E-02|
16|          1.2832|     2.46830E-02|
17|          1.3100|     2.04791E-02|
18|          1.3326|     1.69561E-02|
19|          1.3516|     1.40134E-02|
20|          1.3674|     1.15626E-02|
21|          1.3805|     9.52710E-03|
22|          1.3914|     7.84051E-03|
23|          1.4005|     6.44594E-03|
24|          1.4079|     5.29486E-03|
25|          1.4141|     4.34622E-03|
26|          1.4191|     3.56539E-03|
27|          1.4233|     2.92339E-03|
28|          1.4267|     2.39599E-03|
29|          1.4295|     1.96307E-03|
30|          1.4318|     1.60792E-03|
31|          1.4337|     1.31672E-03|
32|          1.4353|     1.07804E-03|
33|          1.4365|     8.82496E-04|
34|          1.4376|     7.22325E-04|
35|          1.4384|     5.91162E-04|
36|          1.4391|     4.83774E-04|
37|          1.4397|     3.95865E-04|
38|          1.4401|     3.23912E-04|
39|          1.4405|     2.65025E-04|
40|          1.4408|     2.16834E-04|
41|          1.4411|     1.77401E-04|
42|          1.4413|     1.45135E-04|
43|          1.4415|     1.18735E-04|
44|          1.4416|     9.71359E-05|
45|          1.4417|     7.94645E-05|
46|          1.4418|     6.50072E-05|
47|          1.4419|     5.31796E-05|
48|          1.4420|     4.35037E-05|
49|          1.4420|     3.55880E-05|
50|          1.4421|     2.91125E-05|
51|          1.4421|     2.38151E-05|

number of iterations: 51
execution time: 0.003750
