  |              xu|              xl|Approximate root|       Precision|
 1|          5.0000|          0.0000|          0.1200|         40.6667|
 2|          5.0000|          0.1200|          0.2371|          0.4938|
 3|          5.0000|          0.2371|          0.3509|          0.3244|
 4|          5.0000|          0.3509|          0.4609|          0.2387|
 5|          5.0000|          0.4609|          0.5663|          0.1862|
 6|          5.0000|          0.5663|          0.6665|          0.1502|
 7|          5.0000|          0.6665|          0.7604|          0.1236|
 8|          5.0000|          0.7604|          0.8476|          0.1028|
 9|          5.0000|          0.8476|          0.9274|          0.0861|
10|          5.0000|          0.9274|          0.9996|          0.0722|
11|          5.0000|          0.9996|          1.0642|          0.0607|
12|          5.0000|          1.0642|          1.1212|          0.0509|
13|          5.0000|          1.1212|          1.1711|          0.0426|
14|          5.0000|          1.1711|          1.2144|          0.0356|
15|          5.0000|          1.2144|          1.2515|          0.0297|
16|          5.0000|          1.2515|          1.2832|          0.0247|
17|          5.0000|          1.2832|          1.3100|          0.0205|
18|          5.0000|          1.3100|          1.3326|          0.0170|
19|          5.0000|          1.3326|          1.3516|          0.0140|
20|          5.0000|          1.3516|          1.3674|          0.0116|
21|          5.0000|          1.3674|          1.3805|          0.0095|
22|          5.0000|          1.3805|          1.3914|          0.0078|
23|          5.0000|          1.3914|          1.4005|          0.0064|
24|          5.0000|          1.4005|          1.4079|          0.0053|
25|          5.0000|          1.4079|          1.4141|          0.0043|
26|          5.0000|          1.4141|          1.4191|          0.0036|
27|          5.0000|          1.4191|          1.4233|          0.0029|
28|          5.0000|          1.4233|          1.4267|          0.0024|
29|          5.0000|          1.4267|          1.4295|          0.0020|
30|          5.0000|          1.4295|          1.4318|          0.0016|
31|          5.0000|          1.4318|          1.4337|          0.0013|
32|          5.0000|          1.4337|          1.4353|          0.0011|
33|          5.0000|          1.4353|          1.4365|          0.0009|
34|          5.0000|          1.4365|          1.4376|          0.0007|
35|          5.0000|          1.4376|          1.4384|          0.0006|
36|          5.0000|          1.4384|          1.4391|          0.0005|
37|          5.0000|          1.4391|          1.4397|          0.0004|
38|          5.0000|          1.4397|          1.4401|          0.0003|
39|          5.0000|          1.4401|          1.4405|          0.0003|
40|          5.0000|          1.4405|          1.4408|          0.0002|
41|          5.0000|          1.4408|          1.4411|          0.0002|
42|          5.0000|          1.4411|          1.4413|          0.0001|
43|          5.0000|          1.4413|          1.4415|          0.0001|
44|          5.0000|          1.4415|          1.4416|          0.0001|
45|          5.0000|          1.4416|          1.4417|          0.0001|
46|          5.0000|          1.4417|          1.4418|          0.0001|
47|          5.0000|          1.4418|          1.4419|          0.0001|
48|          5.0000|          1.4419|          1.4420|          0.0000|
49|          5.0000|          1.4420|          1.4420|          0.0000|
50|          5.0000|          1.4420|          1.4421|          0.0000|
51|          5.0000|          1.4421|          1.4421|          0.0000|

number of iterations: 51
execution time: 0.003957
